##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
sensory exam	6.40.139.199.140.129	sensory_exam
sensory examination	6.40.139.199.140.129	sensory_exam
sensory_exam	6.40.139.199.140.129	sensory_exam
serial seven	6.40.139.199.139.124.58	attention_and_calculation
serial sevens	6.40.139.199.139.124.58	attention_and_calculation
service	5.15.31	service
sex	5.14.16	gender
sexual activity history	5.34.78.95	sexual_activity_history
sexual and venereal disease history and symptom	5.39.122.150.98	stds
sexual and venereal disease history and symptom	5.32.77.79.19.11	stds_course
sexual and venereal diseases history and symptoms	5.39.122.150.98	stds
sexual and venereal diseases history and symptoms	5.32.77.79.19.11	stds_course
sexual history	5.34.78.95	sexual_activity_history
sexual transmit disease history	5.35.91.109.80	sexual_transmitted_disease_history
sexual transmitted disease history	5.35.91.109.80	sexual_transmitted_disease_history
sexual venereal disease history symptom	5.39.122.150.98	stds
sexual venereal disease history symptom	5.32.77.79.19.11	stds_course
sexual_activity_history	5.34.78.95	sexual_activity_history
sexual_transmitted_disease_history	5.35.91.109.80	sexual_transmitted_disease_history
she is to receive rehabilitation to increase her mobility and strength , rehabilitation potential is good , and she is to receive the following medications at that facility 	5.37.106.125	discharge_medications
short term memory	5.39.123.158.103	short_term_memory_review
short_term_memory_review	5.39.123.158.103	short_term_memory_review
shoulder	5.32.77.81.23.14.2	shoulder_course
shoulder	5.39.124.160.105.62	shoulder_review
shoulder	6.40.139.200.147.145	shoulders_exam
shoulder	13.51.157.292.202.199	shoulders_plan
shoulder bilateral	6.40.139.200.147.145	shoulders_exam
shoulder course	5.32.77.81.23.14.2	shoulder_course
shoulder exam	6.40.139.200.147.145	shoulders_exam
shoulder examination	6.40.139.200.147.145	shoulders_exam
shoulder plan	13.51.157.292.202.199	shoulders_plan
shoulder shrug	6.40.139.200.147.145	shoulders_exam
shoulder_course	5.32.77.81.23.14.2	shoulder_course
shoulder_review	5.39.124.160.105.62	shoulder_review
shoulders	6.40.139.200.147.145	shoulders_exam
shoulders	13.51.157.292.202.199	shoulders_plan
shoulders exam	6.40.139.200.147.145	shoulders_exam
shoulders examination	6.40.139.200.147.145	shoulders_exam
shoulders plan	13.51.157.292.202.199	shoulders_plan
shoulders_exam	6.40.139.200.147.145	shoulders_exam
shoulders_plan	13.51.157.292.202.199	shoulders_plan
shx	5.34.78	personal_and_social_history
si biopsy	6.41.153.259	si_biopsy
si_biopsy	6.41.153.259	si_biopsy
sib	5.34.79.102.51	sibling_medical_history
sibling	5.34.79.102.51	sibling_medical_history
sibling	5.34.78.94.42	siblings
sibling medical history	5.34.79.102.51	sibling_medical_history
sibling_medical_history	5.34.79.102.51	sibling_medical_history
siblings	5.34.79.102.51	sibling_medical_history
siblings	5.34.78.94.42	siblings
sibs	5.34.79.102.51	sibling_medical_history
sigmoidoscopy	6.41.150.238.168	sigmoidoscopy
sigmoidoscopy and or colonoscopy	6.41.150.238.167-6	colonoscopy_sigmoidoscopy
sigmoidoscopy and/or colonoscopy	6.41.150.238.167-6	colonoscopy_sigmoidoscopy
sigmoidoscopy colonoscopy	6.41.150.238.167-6	colonoscopy_sigmoidoscopy
sign	22	author
sign by	22	author
signed by	22	author
signed electronically by	3	providers
significant laboratory finding	6.41.144	laboratory_data
significant laboratory finding discharge	6.41.144	laboratory_data
significant laboratory finding on discharge	6.41.144	laboratory_data
significant laboratory findings	6.41.144	laboratory_data
significant laboratory findings on discharge	6.41.144	laboratory_data
significant past medical history	5.35	past_medical_history
significant problem	11	problem_list
significant problems	11	problem_list
significant radiologic finding	6.41.149	radiographic_studies
significant radiologic findings	6.41.149	radiographic_studies
sis	5.34.78.94.42.29	sister
sis	5.34.79.102.51.40	sister_medical_history
sister	5.34.78.94.42.29	sister
sister	5.34.79.102.51.40	sister_medical_history
sister medical history	5.34.79.102.51.40	sister_medical_history
sister_medical_history	5.34.79.102.51.40	sister_medical_history
skeletal	5.32.77.81.23	musculoskeletal_course
skeletal	5.34.79.103.65.53	musculoskeletal_family_history
skeletal	13.51.157.292.200	musculoskeletal_plan
skeletal	5.39.124.160	musculoskeletal_review
skeletal	6.40.139.200	musculoskeletal_rheumatological_exam
skin	5.32.77.71	derm_course
skin	6.40.139.190	derm_exam
skin	5.34.79.103.57	dermatologic_family_history
skin	5.39.114	dermatological_review
skin	13.51.157.282	skin_plan
skin and breast	6.40.139.190-31	skin_and_breast_exam
skin and breast exam	6.40.139.190-31	skin_and_breast_exam
skin and breast examination	6.40.139.190-31	skin_and_breast_exam
skin and mucosa pigmentary or color change	6.40.139.190.116	skin_color_exam
skin and mucosa pigmentary or color changes	6.40.139.190.116	skin_color_exam
skin anergy panel	6.41.144.213.156	skin_anergy_panel
skin biopsy	6.41.153.270	skin_biopsy
skin breast	6.40.139.190-31	skin_and_breast_exam
skin breast exam	6.40.139.190-31	skin_and_breast_exam
skin breast examination	6.40.139.190-31	skin_and_breast_exam
skin color	6.40.139.190.116	skin_color_exam
skin color exam	6.40.139.190.116	skin_color_exam
skin color examination	6.40.139.190.116	skin_color_exam
skin dermatologic	5.32.77.71	derm_course
skin dermatologic	6.40.139.190	derm_exam
skin dermatologic	5.34.79.103.57	dermatologic_family_history
skin dermatologic	5.39.114	dermatological_review
skin dermatologic	13.51.157.282	skin_plan
skin exam	6.40.139.190	derm_exam
skin examination	6.40.139.190	derm_exam
skin inspection	6.40.139.190.117	skin_inspection
skin mucosa pigmentary color change	6.40.139.190.116	skin_color_exam
skin muscle biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin muscle_biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin plan	13.51.157.282	skin_plan
skin temperature	6.40.139.190.118	skin_temperature
skin test	6.41.144.213	skin_testing
skin test exposure microorganism	6.41.144.213.157	skin_tests_for_exposure_to_microorganisms
skin test for exposure to microorganism	6.41.144.213.157	skin_tests_for_exposure_to_microorganisms
skin testing	6.41.144.213	skin_testing
skin tests for exposure to microorganisms	6.41.144.213.157	skin_tests_for_exposure_to_microorganisms
skin texture	6.40.139.190.119	skin_texture
skin to muscle biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin to muscle_biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin-to-muscle biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin-to-muscle_biopsy	6.41.153.271.180	skin-to-muscle_biopsy
skin/breast	6.40.139.190-31	skin_and_breast_exam
skin/dermatologic	5.32.77.71	derm_course
skin/dermatologic	6.40.139.190	derm_exam
skin/dermatologic	5.34.79.103.57	dermatologic_family_history
skin/dermatologic	5.39.114	dermatological_review
skin/dermatologic	13.51.157.282	skin_plan
skin_and_breast_exam	6.40.139.190-31	skin_and_breast_exam
skin_anergy_panel	6.41.144.213.156	skin_anergy_panel
skin_biopsy	6.41.153.270	skin_biopsy
skin_color_exam	6.40.139.190.116	skin_color_exam
skin_inspection	6.40.139.190.117	skin_inspection
skin_plan	13.51.157.282	skin_plan
skin_temperature	6.40.139.190.118	skin_temperature
skin_testing	6.41.144.213	skin_testing
skin_tests_for_exposure_to_microorganisms	6.41.144.213.157	skin_tests_for_exposure_to_microorganisms
skin_texture	6.40.139.190.119	skin_texture
skn	5.32.77.71	derm_course
skn	6.40.139.190	derm_exam
skn	5.34.79.103.57	dermatologic_family_history
skn	5.39.114	dermatological_review
sleep disturbance	5.39.123.155	sleep_disturbance_review
sleep disturbances	5.39.123.155	sleep_disturbance_review
sleep habit sleep	5.34.78.96.44	sleep_habits,_sleep
sleep habits, sleep	5.34.78.96.44	sleep_habits,_sleep
sleep studies	6.41.146.224	sleep_studies
sleep study	6.41.146.224	sleep_studies
sleep_disturbance_review	5.39.123.155	sleep_disturbance_review
sleep_habits _sleep	5.34.78.96.44	sleep_habits,_sleep
sleep_habits,_sleep	5.34.78.96.44	sleep_habits,_sleep
sleep_studies	6.41.146.224	sleep_studies
slit lamp	6.40.139.191.120.80.38	slit_lamp_exam
slit lamp exam	6.40.139.191.120.80.38	slit_lamp_exam
slit lamp examination	6.40.139.191.120.80.38	slit_lamp_exam
slit_lamp_exam	6.40.139.191.120.80.38	slit_lamp_exam
small bowel follow through	6.41.149.234.162.171.103	small_bowel_follow_through
small_bowel_follow_through	6.41.149.234.162.171.103	small_bowel_follow_through
smokeless tobacco	5.34.78.93.38.21	oral_tobacco_use
smoking	5.34.78.93.38.20	smoking_use
smoking use	5.34.78.93.38.20	smoking_use
smoking_use	5.34.78.93.38.20	smoking_use
snuff	5.34.78.93.38.21	oral_tobacco_use
soc history	5.34.78	personal_and_social_history
social development	5.35.94.110	social_development
social history	5.34.78	personal_and_social_history
social history family history review of system	5.39	review_of_systems
social history family history review system	5.39	review_of_systems
social history/family history/review of systems	5.39	review_of_systems
social security number	5.14.28	ssn
social_development	5.35.94.110	social_development
son	5.34.78.94.39.22	son
son	5.34.79.102.50.37	son_medical_history
son medical history	5.34.79.102.50.37	son_medical_history
son_medical_history	5.34.79.102.50.37	son_medical_history
source	1.1	history_source
source and reliability	1	source_and_reliability
source information	1.1	history_source
source of information	1.1	history_source
source reliability	1	source_and_reliability
source_and_reliability	1	source_and_reliability
sources of information	1.1	history_source
special studies	6.41	laboratory_and_radiology_data
special study	6.41	laboratory_and_radiology_data
speculum	6.40.139.198.137.115.51	speculum_exam
speculum exam	6.40.139.198.137.115.51	speculum_exam
speculum examination	6.40.139.198.137.115.51	speculum_exam
speculum_exam	6.40.139.198.137.115.51	speculum_exam
speech	6.40.139.199.140.133	speech_exam
speech	5.39.123.157	speech_review
speech development	5.35.94.113	speech_development
speech exam	6.40.139.199.140.133	speech_exam
speech examination	6.40.139.199.140.133	speech_exam
speech language	5.35.94.113	speech_development
speech_development	5.35.94.113	speech_development
speech_exam	6.40.139.199.140.133	speech_exam
speech_review	5.39.123.157	speech_review
spine	6.40.139.200.147.153	spine
splenic aspirate biopsy	6.41.153.269.179	splenic_biopsy
splenic aspirate or biopsy	6.41.153.269.179	splenic_biopsy
splenic biopsy	6.41.153.269.179	splenic_biopsy
splenic_biopsy	6.41.153.269.179	splenic_biopsy
sponge count	15.58	counts
ssn	5.14.28	ssn
standard code system	4	standard_coding_systems
standard coding systems	4	standard_coding_systems
standard_coding_systems	4	standard_coding_systems
std	5.35.91.109.80	sexual_transmitted_disease_history
std	5.39.122.150.98	stds
std course	5.32.77.79.19.11	stds_course
stds	5.35.91.109.80	sexual_transmitted_disease_history
stds	5.39.122.150.98	stds
stds course	5.32.77.79.19.11	stds_course
stds_course	5.32.77.79.19.11	stds_course
stomach biopsy	6.41.153.258	stomach_biopsy
stomach_biopsy	6.41.153.258	stomach_biopsy
strength	6.40.139.199.140.130	strength_exam
strength exam	6.40.139.199.140.130	strength_exam
strength examination	6.40.139.199.140.130	strength_exam
strength_exam	6.40.139.199.140.130	strength_exam
stress level	5.34.78.100	psychological_stressors
stress test	6.41.145.222	stress_test
stress test data	6.41.145.222	stress_test
stress_test	6.41.145.222	stress_test
stressor	5.34.78.100	psychological_stressors
stressors	5.34.78.100	psychological_stressors
stroke risk factor	5.30.68.62	cerebral_vascular_risk_factors
stroke risk factors	5.30.68.62	cerebral_vascular_risk_factors
studies	6.41	laboratory_and_radiology_data
studies performed	6.41	laboratory_and_radiology_data
study	6.41	laboratory_and_radiology_data
study data	6.41	laboratory_and_radiology_data
study perform	6.41	laboratory_and_radiology_data
subjective	5.28.57	subjective
substance abuse	5.34.78.93	substance_use
substance abuse history	5.34.78.93	substance_use
substance abuse treatment	5.34.78.93.37	substance_abuse_treatment
substance use	5.34.78.93	substance_use
substance use abuse	5.34.78.93	substance_use
substance use and abuse	5.34.78.93	substance_use
substance_abuse_treatment	5.34.78.93.37	substance_abuse_treatment
substance_use	5.34.78.93	substance_use
summary	13.48	summary
summary by system	5.32.77	hospital_course_by_system
summary cardiopulmonary bypass	13.48	summary
summary hospital course problem	5.32.75	hospital_course_by_problem
summary of cardiopulmonary bypass	13.48	summary
summary of hospital course	5.32	hospital_course
summary of hospital course by issues-system	5.32	hospital_course
summary of hospital course by problem	5.32.75	hospital_course_by_problem
summary of hospital course by systems	5.32	hospital_course
summary of laboratory and radiological examinations	6.41	laboratory_and_radiology_data
summary of present illness	5.28	history_present_illness
summary of the cardiopulmonary bypass	13.48	summary
summary present illness	5.28	history_present_illness
superficial reflex	6.40.139.199.140.128.69	superficial_reflexes
superficial reflexes	6.40.139.199.140.128.69	superficial_reflexes
superficial vasculature	6.40.139.195.130.107	superficial_vasculature_exam
superficial vasculature exam	6.40.139.195.130.107	superficial_vasculature_exam
superficial vasculature examination	6.40.139.195.130.107	superficial_vasculature_exam
superficial_reflexes	6.40.139.199.140.128.69	superficial_reflexes
superficial_vasculature_exam	6.40.139.195.130.107	superficial_vasculature_exam
supplement	5.37.107.132	alternative_therapies
supplements	5.37.107.132	alternative_therapies
supraclavicular ln	6.40.139.193.123.88	supraclavicular_ln_exam
supraclavicular ln exam	6.40.139.193.123.88	supraclavicular_ln_exam
supraclavicular ln examination	6.40.139.193.123.88	supraclavicular_ln_exam
supraclavicular_ln_exam	6.40.139.193.123.88	supraclavicular_ln_exam
surgeon	3.10.7.4	surgeon
surgeries	5.35.84	past_surgical_history
surgery	5.35.84	past_surgical_history
surgery attending	3.10.7.9.3	surgery_attending_physician
surgery attending physician	3.10.7.9.3	surgery_attending_physician
surgery_attending_physician	3.10.7.9.3	surgery_attending_physician
surgical	5.23.52	surgical_procedures
surgical assistant	3.11.9	surgical_assistants
surgical history	5.35.84	past_surgical_history
surgical procedure	5.23.52	surgical_procedures
surgical procedures	5.23.52	surgical_procedures
surgical_assistants	3.11.9	surgical_assistants
surgical_procedures	5.23.52	surgical_procedures
swallowing_review	5.39.121.146	dysphagia_review
synovium biopsy	6.41.153.271.183	synovium_biopsy
synovium_biopsy	6.41.153.271.183	synovium_biopsy
system review	5.39	review_of_systems
systems review	5.39	review_of_systems
t	5.16.35.50	date_transcribed
t min	6.40.136.165.110	min_temperature
t spine	5.32.77.81.23.14.14	thoracic_spine_course
t spine	6.40.139.200.147.153.82	thoracic_spine_exam
t spine	13.51.157.292.202.211	thoracic_spine_plan
t spine	5.39.124.160.105.74	thoracic_spine_review
t-max	6.40.136.165.109	max_temperature
t-min	6.40.136.165.110	min_temperature
tactile fremitus	6.40.139.195.128.104	tactile_fremitus
tactile_fremitus	6.40.139.195.128.104	tactile_fremitus
tc	6.40.136.165.108	current_temperature
tcurrent	6.40.136.165.108	current_temperature
td	5.16	date_time
td	5.16.35.50	date_transcribed
technical quality	17	technical_quality
technical_quality	17	technical_quality
